(UserName,FirstName,LastName,Address,City,State,PostalCode,Phone,Email,Permissions,Salt,Hash,Default Store,Password
(fharris,Frank,Harris,1600 Amphitheatre Parkway,Mountain View,California,94043,16502530000,fharris@google.com,User,KCKak/MM8keLxt0oTX8Zcg,ywVUQOec80E2TL7n644TpkHactIVM9YbCZiQL1ASZeo=,10000)
(jsmith,Jack,Smith,1 Microsoft Way,Redmond,Washington,98052,14258828080,jacksmith@microsoft.com,User,ZHA8OyCNNU6pmwv39pV8sQ,qb7wYonTYiw68WpbWX2hUQ4WK+MJH+Jc2Dauj+F7Pos=,10003)
(mbrooks,Michelle,Brooks,627 Broadway,New York,New York,10012,12122213546,michelleb@aol.com,Employee,b4IcUh7UwkWZsnc3dhZZFg,xlO8zqn1jQ5QUUaxXpk5AZLwDcTRBR21k3maCk/wwgA=,10000)
(tgoyer,Tim,Goyer,1 Infinite Loop,Cupertino,California,95014,14089961010,tgoyer@apple.com,User,kd1slVmY/0SfyoakXsO63A,s6KaZ/ACJR+jgfLewULAv82BensU4nZEQqqamT06TLU=,10002)
(dmiller,Dan,Miller,541 Del Medio Avenue,Mountain View,California,94040,16506443358,dmiller@comcast.com,Admin,gflkB9mcdUy/CYPrjUrfmQ,5lxWM54rs1ySWIt+6aE5wlqVWZXLoyHOqjnzMkugOR4=,10004)
(kchase,Kathy,Chase,801 W 4th Street,Reno,Nevada,89503,17752237665,kachase@hotmail.com,User,q7k3TfVLs0ymD0B5yhkA6w,4v9PRFaiwdbSwM+2ASQbvrw1BQx5jD2KAqZw/i339YY=,10003)
(hleacock,Heather,Leacock,120 S Orange Ave,Orlando,Florida,32801,14079997788,hleacock@gmail.com,User,REv7HbGftkeiXt72CHtmw,aHiBVhZtXd6uuz5sQI4Nhk/4bcdmYepxyBRCF7Q8RDY=,10001)
(jgordon,John,Gordon,69 Salem Street,Boston,Massachusetts,2113,16175221333,johngordon22@yahoo.com,Employee,CAPAMXMqFUuHgaUIr1iSjA,xG6jzOtapFjnhgGT2MLSlQL0f7fmu0bZZsUWsZSnIwE=,10001)
(fralston,Frank,Ralston,162 E Superior Street,Chicago,Illinois,60611,13123323232,fralston@gmail.com,User,TcrJ/3MMY0qUhfnJ7tBGZQ,NhO2l/oBENAsGovmNlaEwvaWjuPsaQTHUpAR4DEScOU=,10000)
(vstevens,Victor,Stevens,319 N. Frances Street,Madison,Wisconsin,53703,16082570597,vstevens@yahoo.com,Employee,uunE3U6FWkmuh5jZnIio1w,avTRHG2XGG/eUnuXyrSYNtP865crcyuvERf+0XrLfmo=,10003)
(rcunningham,Richard,Cunningham,2211 W Berry Street,Fort Worth,Texas,76110,18179247272,ricunningham@hotmail.com,User,VnYPvHtFW0q7OcDA7qzapA,R8iTvoxolXDxq4FSYcjoxltO9AFnq/b0KleX3TuQDdw=,10003)
(timothyg,Timothy,Grimsley,1033 N Park Ave,Tucson,Arizona,85719,15206224200,timothy.grimsley@gmail.com,Employee,KPJ36A1Az0apyH5lpK8UfQ,O/hmNeVC9LAH2oMYYCIP6CO4Cm/wUSjt6T+3/ikhnuI=,10002)
(matthewg,Matthew,Grimsley,302 S 700 E,Salt Lake City,Utah,84102,18015317272,matthew.grimsley@gmail.com,User,Sox1vezSfUWYwGztPqAPSw,6QAwCmfmqFPgbj1oENbiMS3xbnH5/toWIEZvJEDPBNY=,10002)
